ticker,sector,fetched_at,market_cap,price,trailing_pe,ev_to_ebitda,return_on_equity,debt_to_equity,revenue_growth,net_margin,asset_turnover,total_debt,total_equity,fetch_ok,error,debt_to_equity_ratio
AARTIIND.NS,chemicals,2026-08-17T03:53:30.518153+00:00,192952467456,531.95,36.360218,18.327,,83.392,0.425,0.05901,1.3914357682619647,49659998208.0,59550000000.0,True,,0.83392
ABBOTINDIA.NS,pharma_healthcare,2026-08-17T03:52:12.018237+00:00,566931357696,26680.0,35.087257,,,3.602,0.087,0.23044,1.4509058081056683,,47741900000.0,True,,0.036019999999999996
ABB.NS,capital_goods,2026-08-17T03:53:07.979883+00:00,1622582362112,7657.0,102.14781,80.33,0.19131,1.547,0.121,0.21349001,1.667347712286514,1445200000.0,78359900000.0,True,,0.01547
ACC.NS,cement,2026-08-17T03:50:27.359791+00:00,247034150912,1315.5,12.9797735,10.206,,2.085,-0.038,0.07563,1.2187217464845206,4286099968.0,205505400000.0,True,,0.02085
ADANIENT.NS,infra_logistics_defense,2026-08-17T03:54:03.964939+00:00,4322281914368,3037.5,52.67037,33.261,,119.56,0.499,0.06546,1.238997132563782,1066217897984.0,809259500000.0,True,,1.1956
ADANIGREEN.NS,energy_power,2026-08-17T03:53:02.114057+00:00,2201945112576,1336.8,128.78613,28.311,,346.548,0.166,0.13095,0.6173804157275231,1035449991168.0,199650000000.0,True,,3.46548
ADANIPORTS.NS,infra_logistics_defense,2026-08-17T03:54:02.841469+00:00,3891156484096,1688.9,28.79625,19.354,,64.051,0.186,0.32431,0.4029716422211426,633989890048.0,961253000000.0,True,,0.64051
ADANIPOWER.NS,energy_power,2026-08-17T03:53:03.325041+00:00,3949891420160,204.82,27.715834,20.444,,82.332,0.34,0.24148001,0.8339199542694382,546702884864.0,649368800000.0,True,,0.8233199999999999
ALKEM.NS,pharma_healthcare,2026-08-17T03:52:10.978250+00:00,649357492224,5431.0,30.111998,21.425,,14.267,0.109,0.14306,1.0515365301264101,20471599104.0,138201000000.0,True,,0.14267
AMBUJACEM.NS,cement,2026-08-17T03:50:28.511568+00:00,1030329401344,414.65,23.255749,18.564,,1.205,-0.077,0.11128,0.6734828127032526,8659300352.0,593473200000.0,True,,0.01205
APLAPOLLO.NS,metals_mining,2026-08-17T03:52:44.793231+00:00,582832750592,2099.1,47.52321,31.139,,9.396,0.085,0.052259997,4.226091422119765,4976500224.0,52965300000.0,True,,0.09396
APOLLOHOSP.NS,pharma_healthcare,2026-08-17T03:52:13.043084+00:00,1288238661632,8959.5,61.61967,36.651,,85.146,0.206,0.07906,2.6276727038744316,84929003520.0,94801000000.0,True,,0.85146
ARE&M.NS,auto,2026-08-17T03:51:58.454215+00:00,173087080448,945.7,18.756447,11.657,,5.015,0.239,0.06303,1.6989773995673518,4061600000.0,80989600000.0,True,,0.05015
ASTRAL.NS,capital_goods,2026-08-17T03:53:21.103259+00:00,415064522752,1545.0,71.927376,38.17,,6.168,0.159,0.084809996,1.6150225486088863,2503000064.0,40579000000.0,True,,0.06168
AUBANK.NS,banking,2026-08-17T03:51:12.532417+00:00,814991409152,1088.1,28.816208,,,,0.298,0.21372999,0.6053324696565784,138715447296.0,199735220000.0,True,,
AUROPHARMA.NS,pharma_healthcare,2026-08-17T03:52:07.549600+00:00,941203259392,1635.8,25.53145,13.06,,21.31,0.163,0.10627,0.8810737756251688,80728399872.0,378909700000.0,True,,0.21309999999999998
AXISBANK.NS,banking,2026-08-17T03:51:01.712392+00:00,3795415728128,1219.3,13.72004,,0.13352999,,0.14,0.36031,0.40954805802859856,2852579704832.0,2150353500000.0,True,,
BAJAJ-AUTO.NS,auto,2026-08-17T03:51:48.040776+00:00,3229219815424,11751.0,27.976574,20.401,,56.352,0.64,0.16251,1.5550691581863303,226649604096.0,388319900000.0,True,,0.56352
BAJAJFINSV.NS,nbfc_financial_services,2026-08-17T03:51:20.332923+00:00,3210571153408,2006.3,31.715145,12.538,,256.404,0.193,0.06471,1.7602195570125265,3614400839680.0,779150700000.0,True,,2.56404
BAJAJHLDNG.NS,nbfc_financial_services,2026-08-17T03:51:30.164341+00:00,1259174756352,11314.0,14.2275095,136.707,0.11598,0.012,0.242,,0.11933165806750952,96200000.0,731505800000.0,True,,0.00012
BAJFINANCE.NS,nbfc_financial_services,2026-08-17T03:51:19.343153+00:00,6726673760256,1081.3,33.158543,,,314.833,0.261,0.43495,0.43566558730066274,3683091742720.0,1139990200000.0,True,,3.14833
BANDHANBNK.NS,banking,2026-08-17T03:51:06.399764+00:00,279060643840,173.21,20.62024,,,,0.216,0.13617,0.530364785165566,143028125696.0,255748969000.0,True,,
BANKBARODA.NS,banking,2026-08-17T03:51:09.481082+00:00,1267552616448,245.11,6.979214,,0.113170005,,0.18,0.27392,0.4513840264406158,1732858085376.0,1658680884000.0,True,,
BANKINDIA.NS,banking,2026-08-17T03:51:14.752491+00:00,649938796544,142.76,5.2874074,,0.13697,,0.185,0.34992,0.36236908183711025,1153757478912.0,899585454000.0,True,,
BATAINDIA.NS,consumer_durables_retail,2026-08-17T03:53:44.481992+00:00,96909762560,754.0,66.490295,22.801,,86.9,0.039,0.041149996,2.2022788933811066,13865700352.0,15955990000.0,True,,0.8690000000000001
BEL.NS,capital_goods,2026-08-17T03:53:10.339785+00:00,3015283834880,412.5,49.224342,35.636,,0.273,0.249,0.21403,1.1170636864372687,654600000.0,239883100000.0,True,,0.0027300000000000002
BHARATFORG.NS,auto,2026-08-17T03:51:51.617173+00:00,995954262016,2083.2,140.09415,36.393,,76.475,0.187,0.040260002,1.6935362177238868,73086148608.0,95798400000.0,True,,0.7647499999999999
BHARTIARTL.NS,telecom_media,2026-08-17T03:53:57.261033+00:00,12393717432320,1986.6,41.551975,12.414,0.20151,100.415,0.184,0.1314,1.415387175073093,2014801952768.0,1490566000000.0,True,,1.00415
BHEL.NS,capital_goods,2026-08-17T03:53:11.422313+00:00,1475350233088,423.7,60.528572,50.246,,31.312,0.403,0.06758,1.2376300407586298,81869496320.0,261466100000.0,True,,0.31312
BLUESTARCO.NS,consumer_durables_retail,2026-08-17T03:53:53.829943+00:00,304811638784,1482.6,59.951477,37.162,,23.588,0.133,0.03979,3.569963743798837,8099899904.0,34314130000.0,True,,0.23588
BPCL.NS,energy_power,2026-08-17T03:52:55.277561+00:00,1346932441088,315.25,7.863557,5.811,,54.332,0.344,0.034679998,4.495372878137683,544244203520.0,1001702600000.0,True,,0.54332
BRITANNIA.NS,fmcg,2026-08-17T03:52:25.983991+00:00,1335494180864,5544.5,51.157963,36.779,,26.875,0.082,0.13376,3.6929381031457575,13802800128.0,51065600000.0,True,,0.26875
CANBK.NS,banking,2026-08-17T03:51:10.515545+00:00,1177098518528,129.77,5.9228663,,,,-0.129,0.43126,0.5452230950954664,1552876830720.0,1177046427000.0,True,,
CARBORUNIV.NS,capital_goods,2026-08-17T03:53:23.569300+00:00,218681131008,1147.9,103.78842,36.311,,10.292,0.194,0.03849,1.3204153933179514,4125339904.0,38998220000.0,True,,0.10292
CENTRALBK.NS,banking,2026-08-17T03:51:15.881642+00:00,282494238720,31.21,6.19246,,0.115600005,,-0.032,0.27839002,0.5297484240967019,288185712640.0,390011399000.0,True,,
CHAMBLFERT.NS,chemicals,2026-08-17T03:53:35.039893+00:00,177168449536,442.2,9.189527,6.399,,10.274,-0.118,0.09581,1.9978103276822046,10675000320.0,104079500000.0,True,,0.10274
CHOLAFIN.NS,nbfc_financial_services,2026-08-17T03:51:21.500983+00:00,1601032028160,1874.6,27.71847,,,695.283,0.346,0.40549,0.5500075512830614,2117722046464.0,304584000000.0,True,,6.9528300000000005
CIPLA.NS,pharma_healthcare,2026-08-17T03:52:04.160212+00:00,1164520325120,1441.5,34.51868,20.803,,1.778,0.035,0.12009,0.8048248792182842,6137699840.0,344319500000.0,True,,0.01778
